# Ellipse table for galaxy UGC1317
# Zeropoint: 30.0022
#SMA        INT         INT_ERR     PA           PA_ERR      ELLIP       ELLIP_ERR   TFLUX       TFLUX_ERR   NPIX        NDATA       X0          Y0          FLAG        
#ARCSEC     W/m2/strad/arcsec2W/m2/strad/arcsec2DEGREE       DEGREE      NO DIM      NO DIM      W/m2        W/m2        NUMBER      NUMBER      PIXEL       :PIXEL       
1.615194380000000152e+01 1.523924978522219193e-08 1.291447219611862863e-10 -7.609699999999999420e+01 5.052938000000000152e-01 6.685330000000000439e-01 7.123509000000000091e-03 5.667351922063488534e-06 1.366172212680125331e-09 5.830000000000000000e+02 7.900000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.776713954999999956e+01 1.420710331800323624e-08 1.245406979500280218e-10 -7.609699999999999420e+01 4.240979999999999750e-01 6.685330000000000439e-01 6.037673999999999819e-03 6.480560947605504199e-06 1.485640440465051224e-09 7.050000000000000000e+02 8.600000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
1.954385830000000013e+01 1.311047763585639488e-08 1.202312971514796472e-10 -7.609699999999999420e+01 4.186683999999999961e-01 6.685330000000000439e-01 5.936600000000000210e-03 7.364383061211635865e-06 1.610991107333124023e-09 8.470000000000000000e+02 9.500000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
2.149823865000000112e+01 1.203290331128536727e-08 1.162872103123945278e-10 -7.609699999999999420e+01 4.130006999999999984e-01 6.685330000000000439e-01 5.883105999999999926e-03 8.409842997932129633e-06 1.755310731163967360e-09 1.029000000000000000e+03 1.040000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
2.364806320000000284e+01 1.092713617102462042e-08 1.136315320002061022e-10 -7.609699999999999420e+01 5.098310000000000342e-01 6.685330000000000439e-01 7.226513999999999854e-03 9.503991378611788857e-06 1.902386107245447950e-09 1.235000000000000000e+03 1.150000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
2.601287500000000463e+01 9.814360246884622009e-09 1.119645069183014172e-10 -7.609699999999999420e+01 4.823693000000000008e-01 6.685330000000000439e-01 6.812224000000000404e-03 1.079727940049946459e-05 2.073094883833591863e-09 1.501000000000000000e+03 1.270000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
2.861416250000000261e+01 8.434920205350940524e-09 1.082205123071558011e-10 -7.609699999999999420e+01 3.250778999999999752e-01 6.685330000000000439e-01 4.612576999999999650e-03 1.215103017756746876e-05 2.252087667272985685e-09 1.813000000000000000e+03 1.390000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
3.147557875000000394e+01 6.950312478500505230e-09 1.049029762250423114e-10 -7.609699999999999420e+01 2.680222999999999911e-01 6.685330000000000439e-01 3.800696000000000109e-03 1.356533642830219167e-05 2.450763635975709250e-09 2.205000000000000000e+03 1.530000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
3.462313319999999806e+01 5.782283625487538526e-09 1.032188393746713957e-10 -7.609699999999999420e+01 3.449847999999999804e-01 6.685330000000000439e-01 4.873152999999999860e-03 1.494851174481869413e-05 2.659563780574241759e-09 2.669000000000000000e+03 1.690000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
3.808545200000000364e+01 4.933812604005273405e-09 1.015998789779868285e-10 -7.609699999999999420e+01 3.722594000000000181e-01 6.685330000000000439e-01 5.255840999999999812e-03 1.636934200541395086e-05 2.885139712282908452e-09 3.227000000000000000e+03 1.860000000000000000e+02 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
