# Ellipse table for galaxy UGC1317
# Zeropoint: 30.0022
#SMA        INT         INT_ERR     PA           PA_ERR      ELLIP       ELLIP_ERR   TFLUX       TFLUX_ERR   NPIX        NDATA       X0          Y0          FLAG        
#ARCSEC     W/m2/strad/arcsec2W/m2/strad/arcsec2DEGREE       DEGREE      NO DIM      NO DIM      W/m2        W/m2        NUMBER      NUMBER      PIXEL       :PIXEL       
6.227272665000000096e+00 2.136388700493014763e-08 1.304614993437885932e-10 -7.852361999999999398e+01 2.316714000000000162e+00 3.526887000000000216e-01 2.330217000000000052e-02 2.311492938086161698e-06 7.868253766687133622e-10 1.630000000000000000e+02 4.500000000000000000e+01 5.646865000000000236e+02 4.233288000000000011e+02 0.000000000000000000e+00
6.850000000000000533e+00 2.024277099722487635e-08 1.285763190639132843e-10 -7.722191999999999723e+01 2.322550999999999810e+00 3.691219000000000028e-01 2.405517000000000072e-02 2.647579188517771508e-06 8.536321414378855750e-10 1.970000000000000000e+02 4.900000000000000000e+01 5.646377999999999702e+02 4.231972000000000094e+02 0.000000000000000000e+00
7.535000000000000142e+00 1.938427231513905876e-08 1.269198497267859049e-10 -7.653131000000000483e+01 2.186522000000000077e+00 3.970994999999999941e-01 2.365147000000000083e-02 2.946676850457157844e-06 9.107859529017121244e-10 2.290000000000000000e+02 5.300000000000000000e+01 5.646526000000000067e+02 4.231143999999999892e+02 0.000000000000000000e+00
8.288500000000000867e+00 1.858893551995597995e-08 1.258259841518197749e-10 -7.604950999999999794e+01 2.103216999999999892e+00 4.253979999999999984e-01 2.414507000000000111e-02 3.284852544758829606e-06 9.731431155717546140e-10 2.670000000000000000e+02 5.600000000000000000e+01 5.646851000000000340e+02 4.230543000000000120e+02 0.000000000000000000e+00
9.117350000000001842e+00 1.778949704433096909e-08 1.239720532661451831e-10 -7.519414999999999338e+01 1.846144999999999925e+00 4.443064999999999931e-01 2.159714000000000078e-02 3.626788020511134307e-06 1.033822352440991560e-09 3.070000000000000000e+02 6.100000000000000000e+01 5.647115000000000009e+02 4.230264000000000237e+02 0.000000000000000000e+00
1.002908500000000025e+01 1.710489564132244586e-08 1.210955229166838689e-10 -7.412832000000000221e+01 1.415394999999999959e+00 4.718973000000000195e-01 1.722415999999999878e-02 4.024659435242089749e-06 1.101480884818322722e-09 3.550000000000000000e+02 6.500000000000000000e+01 5.648179000000000087e+02 4.230708000000000197e+02 0.000000000000000000e+00
1.103199350000000045e+01 1.646940462628175487e-08 1.179944945420325020e-10 -7.270385000000000275e+01 9.779685999999999657e-01 4.975592999999999821e-01 1.234942999999999978e-02 4.464733682636747489e-06 1.174131415461161209e-09 4.110000000000000000e+02 6.900000000000000000e+01 5.651639999999999873e+02 4.232549000000000206e+02 0.000000000000000000e+00
1.213519285000000281e+01 1.595033746534239687e-08 1.162218396764575085e-10 -7.143025000000000091e+01 6.035513999999999601e-01 5.259698000000000428e-01 7.781823000000000212e-03 4.860579807197820111e-06 1.237088660364469987e-09 4.630000000000000000e+02 7.400000000000000000e+01 5.657050000000000409e+02 4.235342999999999734e+02 0.000000000000000000e+00
1.334871144999999970e+01 1.512323510118927362e-08 1.148501329390001493e-10 -7.072762000000000171e+01 4.727940999999999949e-01 5.415653000000000272e-01 6.245549000000000413e-03 5.507304361473270156e-06 1.335734709154181757e-09 5.510000000000000000e+02 7.900000000000000000e+01 5.659524000000000115e+02 4.236977999999999724e+02 0.000000000000000000e+00
1.468358465000000201e+01 1.430894674600804425e-08 1.141331819394659398e-10 -7.020633999999999730e+01 4.540204999999999935e-01 5.584641000000000188e-01 6.081406999999999612e-03 6.103638759771669023e-06 1.423882929790795964e-09 6.370000000000000000e+02 8.500000000000000000e+01 5.663214000000000397e+02 4.238983000000000061e+02 0.000000000000000000e+00
